name,English,日本語
1,Happy birthday! Hope you’ll have a memorable day.,誕生日おめでとう！思い出に残る一日をお過ごしください。
2,Thinking of you with love on your special day!,あなたの特別な日に愛を込めてあなたのことを考えています！
3,May your birthday be full of fun and excitement!,あなたの誕生日が楽しさと興奮に満ちているように！
4,Wishing you the most joyful time on your birthday! ,あなたの誕生日にあなたに最も楽しい時間を願っています！
5,Congratulations! You are finally a Teenager!,おめでとう！あなたはついにティーンエイジャーになりました！
6,Wishing you a blissful and heartwarming birthday.,至福の心温まる誕生日をお祈りしております。
7,May your birthday be filled with joy!,あなたの誕生日が喜びで満たされますように！
8,Blessings to you on your birthday!,あなたの誕生日にあなたに祝福を！
9,Hoping today will be the most awesome day for you.,今日があなたにとって最も素晴らしい日になることを願っています。
10,"Sorry about my belated message… Anyway, Happy Birthday!",遅れたメッセージでごめんなさい…とにかく、お誕生日おめでとう！
