name,sentence
1,Happy birthday! Hope youÅfll have a memorable day.
2,Thinking of you with love on your special day!
3,May your birthday be full of fun and excitement!
4,Wishing you the most joyful time on your birthday! 
5,Congratulations! You are finally a Teenager!
6,Wishing you a blissful and heartwarming birthday.
7,May your birthday be filled with joy!
8,Blessings to you on your birthday!
9,Hoping today will be the most awesome day for you.
10,"Sorry about my belated messageÅc Anyway, Happy Birthday!"
